title	handle	status	type	categories	sales_channels	shipping_profile	subtitle	description	discountable	collection	tags	thumbnail_url	images	metadata_json
Full Spectrum CBD Tincture	cbd-tincture-fso	published	tinctures	CBD Tinctures	DTCWebStore	Default Shipping Profile	Proleve • Full Spectrum	Full Spectrum CBD tinctures contain a broader range of hemp compounds, including trace cannabinoids and terpenes. Total Hemp offers Proleve Full Spectrum tinctures in multiple strengths so you can dial in the right potency. Each bottle uses two simple ingredients—full spectrum CBD extract from American‑grown, pesticide‑free hemp and MCT oil to optimize absorption.	TRUE		CBD,Full Spectrum,Tinctures,Proleve,Hemp-Derived,Relaxation  			"{   ""product_faqs"": [     {       ""q"": ""How should I use CBD tinctures?"",       ""a"": ""CBD tinctures are taken sublingually, or under the tongue, to maximize absorption. To use these oils: (1) Open your bottle of Proleve CBD oil and extract the desired dosage using the marked glass pipette. (2) Drop the dosage under your tongue and hold it there for at least 30 seconds before swallowing. This helps CBD absorb into the veins beneath the tongue and reach the bloodstream faster.""     },     {       ""q"": ""How much CBD oil should I take?"",       ""a"": ""There’s no set guideline to how many milligrams of a CBD tincture you should take per dose. Studies suggest optimal doses in humans range from 20 to 1500 milligrams per day with a strong safety profile, but ideal dosage varies by desired effects, metabolism, and other factors. Many Proleve customers report success starting with one serving size, then increasing gradually until they reach their desired experience.""     },     {       ""q"": ""Why Proleve CBD oil?"",       ""a"": ""Since 2017, Proleve has been committed to hemp products made to high quality and safety standards. Their team brings decades of product development experience with a focus on purity and effectiveness. Proleve CBD oils are extracted from American-grown hemp cultivated with zero pesticides and formulated in a 23,000 sq/ft, ISO‑certified facility. All products are third‑party lab tested multiple times for safety, potency, and purity. Standards include: Non‑GMO U.S. hemp grown with zero pesticides; ISO third‑party lab testing; ISO‑certified production facility; and full‑spectrum, broad‑spectrum, and THC‑free options.""     }   ] } "
Broad Spectrum CBD Tincture	cbd-tincture-bso	published	tinctures	CBD Tinctures	DTCWebStore	Default Shipping Profile	CBD • Broad Spectrum Oil	Total Hemp offers Proleve Broad Spectrum CBD Tinctures for smooth, fast absorption and THC‑free support. Each 30 mL bottle contains hemp‑derived broad spectrum CBD oil blended with MCT oil and includes a built‑in dropper for easy daily use. Crafted to be all natural, organic, non‑GMO, and gluten free.	TRUE		CBD,Broad Spectrum,Tinctures,Proleve,Hemp-Derived,THC-Free,Calm  			"{""product_faqs"":[{""q"":""How should I use CBD tinctures?"",""a"":""CBD tinctures are taken sublingually, or under the tongue, to maximize absorption. To use these oils: (1) Open your bottle of Proleve CBD oil and extract the desired dosage using the marked glass pipette. (2) Drop the dosage under your tongue and hold it there for at least 30 seconds before swallowing. This helps CBD absorb into the veins beneath the tongue and reach the bloodstream faster.""},{""q"":""How much CBD oil should I take?"",""a"":""There’s no set guideline to how many milligrams of a CBD tincture you should take per dose. Studies suggest optimal doses in humans range from 20 to 1500 milligrams per day with a strong safety profile, but ideal dosage varies by desired effects, metabolism, and other factors. Many Proleve customers report success starting with one serving size, then increasing gradually until they reach their desired experience.""},{""q"":""Why Proleve CBD oil?"",""a"":""Total Hemp offers Proleve because it’s a trusted brand committed to high quality and safety standards since 2017. Proleve CBD oils are extracted from American‑grown hemp cultivated with zero pesticides and formulated in a 23,000 sq/ft, ISO‑certified facility. All products are third‑party lab tested multiple times for safety, potency, and purity. Standards include: Non‑GMO U.S. hemp grown with zero pesticides; ISO third‑party lab testing; ISO‑certified production facility; and full‑spectrum, broad‑spectrum, and THC‑free options.""}]}"
CBD Isolate Capsules	cbd-capsules-isolate	published	capsules	CBD Capsules	DTCWebStore	Default Shipping Profile	Proleve • CBD Isolate	Total Hemp offers Proleve CBD Isolate Capsules, which are vegan, organically crafted, and all‑natural. Each capsule contains either 25mg or 50mg of CBD powder in a vegan shell for long‑lasting effects and easy consumption. Capsules are a convenient, on‑the‑go option for those who prefer precise dosing and a neutral‑tasting CBD format.	TRUE		CBD,Isolate,Capsules,Proleve,THC-Free,On-the-Go 			"{""product_faqs"":[{""q"":""How do CBD capsules support wellness?"",""a"":""Though studies haven’t focused on capsules specifically, Proleve CBD capsules deliver the same wellness support as other ingestible CBD products. Customers report that CBD may help with pain & inflammation, joint mobility, stress, sleep, mood, digestion, and more.""},{""q"":""Why choose capsules?"",""a"":""CBD capsules are discreet and easy to use, offer precise dosing (25mg or 50mg per capsule), provide long‑lasting effects through digestion, and have a neutral taste for those who prefer CBD without the earthy hemp flavor.""},{""q"":""What dosage of CBD capsules should I take?"",""a"":""There’s no set dosage for CBD capsules. Proleve capsules range from 25mg to 50mg and are a safe starting point for many users. Start low and go slow—begin with one capsule and increase gradually until you reach your desired effect.""},{""q"":""Why choose Proleve CBD capsules?"",""a"":""Total Hemp offers Proleve because the brand meets high quality standards: Vegan & Non‑GMO, ISO Certified, Third‑Party Lab Tested, THC‑Free, All‑Natural Ingredients, and American‑grown hemp cultivated with zero pesticides.""}]}"
Broad Spectrum CBD Gummies	cbd-gummies-broad-spectrum	published	gummies	CBD Gummies	DTCWebStore	Default Shipping Profile	Proleve • Broad Spectrum	Total Hemp offers Proleve CBD gummies in a variety of flavors and strengths, including broad spectrum options. These high‑quality gummies are vegan and made from US‑grown hemp cultivated without pesticides.	TRUE		CBD,Broad Spectrum,Gummies,Proleve,THC-Free,Vegan 			"{""product_faqs"":[{""q"":""How much CBD is in the gummies?"",""a"":""Proleve CBD gummies range from 25mg to 50mg CBD per gummy.""},{""q"":""How should I use CBD gummies?"",""a"":""Whenever, wherever, and however you want. CBD gummies are versatile and can be used on an as‑needed basis for desired relief.""},{""q"":""Will CBD gummies get me high?"",""a"":""No. Proleve’s CBD gummies are non‑intoxicating because they contain either zero THC or only trace THC (up to 0.3%). If you are looking for added THC, check out Delta‑8 or Delta‑9 gummies.""},{""q"":""How long do CBD gummies take to work, and how long do they last?"",""a"":""You can expect effects within about 30 minutes after consumption. Effects tend to last six to eight hours, though timing varies by metabolism and other individual factors.""},{""q"":""What dosage of CBD gummies should I take?"",""a"":""There’s no set dosage. Proleve’s 25mg and 50mg gummies are a safe starting point. Start low and go slow—begin with one gummy (or half) and increase gradually until you reach your desired effect.""},{""q"":""What are the therapeutic properties of CBD gummies?"",""a"":""Though studies don’t focus on gummies specifically, customers report CBD may help with relaxation, sleep support, and relief from discomfort and inflammation.""},{""q"":""What are the advantages of CBD gummies compared to other product formats?"",""a"":""They offer precise pre‑measured dosing, discreet on‑the‑go use, and long‑lasting effects because they’re digested before CBD is metabolized.""},{""q"":""Why choose Proleve?"",""a"":""Total Hemp offers Proleve because it’s a trusted brand committed to high quality standards. Proleve uses American‑grown hemp cultivated without pesticides and third‑party lab testing to ensure safety, purity, and potency.""}]} "
Broad Spectrum CBD Gummies + Melatonin	cbd-gummies-broad-spectrum-melatonin	published	gummies	CBD Gummies	DTCWebStore	Default Shipping Profile	Proleve • Melatonin	Total Hemp offers Proleve Broad Spectrum CBD Gummies with Melatonin for nighttime support. These vegan gummies combine broad spectrum CBD with a small dose of melatonin to promote relaxation and restful sleep. Made from US‑grown, pesticide‑free hemp and available in multiple strengths and counts for easy bedtime dosing..	TRUE		CBD,Broad Spectrum,Gummies,Proleve,THC-Free,Melatonin,Sleep  			"{""product_faqs"":[{""q"":""How much CBD is in the gummies?"",""a"":""Proleve CBD gummies range from 25mg to 50mg CBD per gummy.""},{""q"":""How should I use CBD gummies?"",""a"":""Whenever, wherever, and however you want. CBD gummies are versatile and can be used on an as‑needed basis for desired relief.""},{""q"":""Will CBD gummies get me high?"",""a"":""No. Proleve’s CBD gummies are non‑intoxicating because they contain either zero THC or only trace THC (up to 0.3%). If you are looking for added THC, check out Delta‑8 or Delta‑9 gummies.""},{""q"":""How long do CBD gummies take to work, and how long do they last?"",""a"":""You can expect effects within about 30 minutes after consumption. Effects tend to last six to eight hours, though timing varies by metabolism and other individual factors.""},{""q"":""What dosage of CBD gummies should I take?"",""a"":""There’s no set dosage. Proleve’s 25mg and 50mg gummies are a safe starting point. Start low and go slow—begin with one gummy (or half) and increase gradually until you reach your desired effect.""},{""q"":""What are the therapeutic properties of CBD gummies?"",""a"":""Though studies don’t focus on gummies specifically, customers report CBD may help with relaxation, sleep support, and relief from discomfort and inflammation.""},{""q"":""What are the advantages of CBD gummies compared to other product formats?"",""a"":""They offer precise pre‑measured dosing, discreet on‑the‑go use, and long‑lasting effects because they’re digested before CBD is metabolized.""},{""q"":""Why choose Proleve?"",""a"":""Total Hemp offers Proleve because it’s a trusted brand committed to high quality standards. Proleve uses American‑grown hemp cultivated without pesticides and third‑party lab testing to ensure safety, purity, and potency.""}]} "
CBG Gummies	cbg-gummies	published	gummies	CBG Gummies	DTCWebStore	Default Shipping Profile	Proleve • CBG	Total Hemp offers Proleve CBG gummies—bite‑sized chewables infused with CBG, a cannabinoid from the hemp plant. Each piece contains a precise, pre‑measured dose of 25mg CBG, making it easy to track exactly how much you’ve taken and how much you need to achieve desired results. These vegan gummies come in a variety of flavors and are a great‑tasting way to enjoy the properties of CBG. Cannabigerol (CBG) is often called the “mother of all cannabinoids.”	TRUE		CBG,Gummies,Proleve,THC-Free,Focus			"{""product_faqs"":[{""q"":""What are the therapeutic properties of CBG gummies?"",""a"":""Customers report that CBG gummies may help with mood, motivation, energy, focus, stress, aches & inflammation, digestive health, exercise recovery, joint mobility, and cognitive health.""},{""q"":""Will CBG gummies get me high?"",""a"":""No. Unlike THC, CBG is non‑intoxicating. Proleve CBG gummies contain only non‑psychoactive amounts of THC and will not produce a “high.”""},{""q"":""Why choose Proleve CBG gummies?"",""a"":""Total Hemp offers Proleve because it’s a trusted brand committed to high quality and safety standards since 2017. Proleve CBG gummies are made from American‑grown hemp cultivated with zero pesticides and formulated in a 23,000 sq/ft ISO‑certified facility. Products are third‑party lab tested multiple times for safety, purity, and potency. Standards include: Non‑GMO U.S. hemp grown with zero pesticides; ISO third‑party lab testing; ISO‑certified production facility; and full‑spectrum, THC‑free, and topical options.""}]}"
CBG Gummies + B12	cbg-gummies-b12	published	gummies	CBG Gummies	DTCWebStore	Default Shipping Profile	Proleve • B12	Total Hemp offers Proleve CBG Gummies + B12 for a clean, convenient boost. Each gummy delivers 25mg of CBG plus vitamin B12, giving you a precise, pre‑measured dose in a great‑tasting vegan chewable. This option is ideal for those who want the benefits of CBG with added energy support.	TRUE		CBG,Gummies,Proleve,B12,Energy,THC-Free  			"{""product_faqs"":[{""q"":""What are the therapeutic properties of CBG gummies?"",""a"":""Customers report that CBG gummies may help with mood, motivation, energy, focus, stress, aches & inflammation, digestive health, exercise recovery, joint mobility, and cognitive health.""},{""q"":""Will CBG gummies get me high?"",""a"":""No. Unlike THC, CBG is non‑intoxicating. Proleve CBG gummies contain only non‑psychoactive amounts of THC and will not produce a “high.”""},{""q"":""Why choose Proleve CBG gummies?"",""a"":""Total Hemp offers Proleve because it’s a trusted brand committed to high quality and safety standards since 2017. Proleve CBG gummies are made from American‑grown hemp cultivated with zero pesticides and formulated in a 23,000 sq/ft ISO‑certified facility. Products are third‑party lab tested multiple times for safety, purity, and potency. Standards include: Non‑GMO U.S. hemp grown with zero pesticides; ISO third‑party lab testing; ISO‑certified production facility; and full‑spectrum, THC‑free, and topical options.""}]}"
CBD Isolate Salve	cbd-isolate-salve	published	topicals	CBD Topicals	DTCWebStore	Default Shipping Profile	Proleve • CBD Isolate	Total Hemp offers Proleve CBD Isolate Salve, a THC‑free topical designed for targeted skin application. It’s crafted for easy use and comes in standard and travel sizes for convenient relief at home or on the go.	TRUE		CBD, Topicals, Proleve, Isolate, Salve, THC‑Free			"{""product_faqs"":[{""q"":""How do CBD topicals work?"",""a"":""CBD topicals work through direct application to the skin's problem areas. Customers report fast‑acting relief within minutes for discomfort, aches, stiffness, soreness, and dry or irritated skin. Formulated to optimize absorption and reach joints, tissues, and muscles beneath the skin.""},{""q"":""Uses & therapeutic properties of CBD topicals"",""a"":""Potential properties include pain reduction, inflammation management, improved mobility, reduced stiffness or soreness of the joints, muscle recovery, pre‑ and post‑workout aid, moisturization, skin health, and balancing dry, red, or flaky skin.""},{""q"":""What CBD topicals does Proleve have?"",""a"":""Proleve offers CBD salves, CBD lotions, CBD cooling and warming roll‑ons, hand and body lotions, and CBD bath bombs.""},{""q"":""What ingredients are in CBD topicals?"",""a"":""Depending on the product, ingredients may include olive oil, coconut oil, lavender, tea tree oil, turmeric root extract, eucalyptus, aloe, green tea, shea butter, and other plant‑based bases. Cooling roll‑ons include peppermint oil and camphor; warming roll‑ons combine CBD with menthol and capsaicin.""},{""q"":""Why choose Proleve CBD topicals?"",""a"":""Total Hemp offers Proleve topicals because they are crafted to high safety standards with vegan ingredients, American‑grown hemp cultivated with zero pesticides, made in an ISO‑certified facility, and third‑party lab tested for purity, safety, and potency.""}]}"
CBD Isolate Lotion	cbd-isolate-lotion	published	topicals	CBD Topicals	DTCWebStore	Default Shipping Profile	Proleve • CBD Isolate	Total Hemp offers Proleve CBD Isolate Lotion, a lightweight, THC‑free topical designed for easy daily use. The 6oz bottle delivers a smooth, moisturizing application with CBD isolate for targeted skin support.	TRUE		CBD,Topicals,Isolate,Lotion,Proleve,THC-Free			"{""product_faqs"":[{""q"":""How do CBD topicals work?"",""a"":""CBD topicals work through direct application to the skin's problem areas. Customers report fast‑acting relief within minutes for discomfort, aches, stiffness, soreness, and dry or irritated skin. Formulated to optimize absorption and reach joints, tissues, and muscles beneath the skin.""},{""q"":""Uses & therapeutic properties of CBD topicals"",""a"":""Potential properties include pain reduction, inflammation management, improved mobility, reduced stiffness or soreness of the joints, muscle recovery, pre‑ and post‑workout aid, moisturization, skin health, and balancing dry, red, or flaky skin.""},{""q"":""What CBD topicals does Proleve have?"",""a"":""Proleve offers CBD salves, CBD lotions, CBD cooling and warming roll‑ons, hand and body lotions, and CBD bath bombs.""},{""q"":""What ingredients are in CBD topicals?"",""a"":""Depending on the product, ingredients may include olive oil, coconut oil, lavender, tea tree oil, turmeric root extract, eucalyptus, aloe, green tea, shea butter, and other plant‑based bases. Cooling roll‑ons include peppermint oil and camphor; warming roll‑ons combine CBD with menthol and capsaicin.""},{""q"":""Why choose Proleve CBD topicals?"",""a"":""Total Hemp offers Proleve topicals because they are crafted to high safety standards with vegan ingredients, American‑grown hemp cultivated with zero pesticides, made in an ISO‑certified facility, and third‑party lab tested for purity, safety, and potency.""}]}"
