title	handle	status	type	categories	sales_channels	shipping_profile	subtitle	description	discountable	collection	tags	thumbnail_url	images	metadata_json
Full Spectrum CBD Salve	cbd-full-spectrum-salve	published	topicals	CBD Topicals	DTCWebStore	Default Shipping Profile	Proleve • Full Spectrum	Total Hemp offers Proleve Full Spectrum CBD Salve for targeted topical use with a broader hemp profile. This formula blends full spectrum CBD extract with skin‑friendly ingredients to support comfort and hydration, and it comes in standard and travel sizes for convenient use.	TRUE		CBD,Topicals,Full Spectrum,Salve,Proleve			"{""product_faqs"":[{""q"":""How do CBD topicals work?"",""a"":""CBD topicals work through direct application to the skin's problem areas. Customers report fast‑acting relief within minutes for discomfort, aches, stiffness, soreness, and dry or irritated skin. Formulated to optimize absorption and reach joints, tissues, and muscles beneath the skin.""},{""q"":""Uses & therapeutic properties of CBD topicals"",""a"":""Potential properties include pain reduction, inflammation management, improved mobility, reduced stiffness or soreness of the joints, muscle recovery, pre‑ and post‑workout aid, moisturization, skin health, and balancing dry, red, or flaky skin.""},{""q"":""What CBD topicals does Proleve have?"",""a"":""Proleve offers CBD salves, CBD lotions, CBD cooling and warming roll‑ons, hand and body lotions, and CBD bath bombs.""},{""q"":""What ingredients are in CBD topicals?"",""a"":""Depending on the product, ingredients may include olive oil, coconut oil, lavender, tea tree oil, turmeric root extract, eucalyptus, aloe, green tea, shea butter, and other plant‑based bases. Cooling roll‑ons include peppermint oil and camphor; warming roll‑ons combine CBD with menthol and capsaicin.""},{""q"":""Why choose Proleve CBD topicals?"",""a"":""Total Hemp offers Proleve topicals because they are crafted to high safety standards with vegan ingredients, American‑grown hemp cultivated with zero pesticides, made in an ISO‑certified facility, and third‑party lab tested for purity, safety, and potency.""}]}"
Broad Spectrum CBD Cooling Roll‑On	cbd-cooling-roll-on-bso	published	topicals	CBD Topicals	DTCWebStore	Default Shipping Profile	Proleve • Cooling	Total Hemp offers Proleve Broad Spectrum CBD Cooling Roll‑On for targeted topical use with a refreshing, cooling sensation. This formula is designed for easy roll‑on application and fast, localized relief.	TRUE		CBD,Topicals,Broad Spectrum,Roll-On,Proleve,Cooling			"{""product_faqs"":[{""q"":""How do CBD topicals work?"",""a"":""CBD topicals work through direct application to the skin's problem areas. Customers report fast‑acting relief within minutes for discomfort, aches, stiffness, soreness, and dry or irritated skin. Formulated to optimize absorption and reach joints, tissues, and muscles beneath the skin.""},{""q"":""Uses & therapeutic properties of CBD topicals"",""a"":""Potential properties include pain reduction, inflammation management, improved mobility, reduced stiffness or soreness of the joints, muscle recovery, pre‑ and post‑workout aid, moisturization, skin health, and balancing dry, red, or flaky skin.""},{""q"":""What CBD topicals does Proleve have?"",""a"":""Proleve offers CBD salves, CBD lotions, CBD cooling and warming roll‑ons, hand and body lotions, and CBD bath bombs.""},{""q"":""What ingredients are in CBD topicals?"",""a"":""Depending on the product, ingredients may include olive oil, coconut oil, lavender, tea tree oil, turmeric root extract, eucalyptus, aloe, green tea, shea butter, and other plant‑based bases. Cooling roll‑ons include peppermint oil and camphor; warming roll‑ons combine CBD with menthol and capsaicin.""},{""q"":""Why choose Proleve CBD topicals?"",""a"":""Total Hemp offers Proleve topicals because they are crafted to high safety standards with vegan ingredients, American‑grown hemp cultivated with zero pesticides, made in an ISO‑certified facility, and third‑party lab tested for purity, safety, and potency.""}]}"
Broad Spectrum CBD Warming Roll‑On	cbd-warming-roll-on-bso	published	topicals	CBD Topicals	DTCWebStore	Default Shipping Profile	Proleve • Warming	Total Hemp offers Proleve Broad Spectrum CBD Warming Roll‑On for targeted topical use with a comforting warming sensation. This formula is designed for easy roll‑on application and fast, localized relief.	TRUE		CBD,Topicals,Broad Spectrum,Roll-On,Proleve,Warming			"{""product_faqs"":[{""q"":""How do CBD topicals work?"",""a"":""CBD topicals work through direct application to the skin's problem areas. Customers report fast‑acting relief within minutes for discomfort, aches, stiffness, soreness, and dry or irritated skin. Formulated to optimize absorption and reach joints, tissues, and muscles beneath the skin.""},{""q"":""Uses & therapeutic properties of CBD topicals"",""a"":""Potential properties include pain reduction, inflammation management, improved mobility, reduced stiffness or soreness of the joints, muscle recovery, pre‑ and post‑workout aid, moisturization, skin health, and balancing dry, red, or flaky skin.""},{""q"":""What CBD topicals does Proleve have?"",""a"":""Proleve offers CBD salves, CBD lotions, CBD cooling and warming roll‑ons, hand and body lotions, and CBD bath bombs.""},{""q"":""What ingredients are in CBD topicals?"",""a"":""Depending on the product, ingredients may include olive oil, coconut oil, lavender, tea tree oil, turmeric root extract, eucalyptus, aloe, green tea, shea butter, and other plant‑based bases. Cooling roll‑ons include peppermint oil and camphor; warming roll‑ons combine CBD with menthol and capsaicin.""},{""q"":""Why choose Proleve CBD topicals?"",""a"":""Total Hemp offers Proleve topicals because they are crafted to high safety standards with vegan ingredients, American‑grown hemp cultivated with zero pesticides, made in an ISO‑certified facility, and third‑party lab tested for purity, safety, and potency.""}]}"
CBD Bath Bombs	cbd-bath-bombs	published	topicals	CBD Topicals	DTCWebStore	Default Shipping Profile	Proleve • Bath Bombs	Total Hemp offers Proleve CBD Bath Bombs for a relaxing, skin‑soothing soak. Each bath bomb delivers CBD in a simple, easy‑to‑use format designed to support comfort and recovery.	TRUE		CBD,Topicals,Bath Bombs,Proleve,THC-Free 			"{""product_faqs"":[{""q"":""How do CBD topicals work?"",""a"":""CBD topicals work through direct application to the skin's problem areas. Customers report fast‑acting relief within minutes for discomfort, aches, stiffness, soreness, and dry or irritated skin. Formulated to optimize absorption and reach joints, tissues, and muscles beneath the skin.""},{""q"":""Uses & therapeutic properties of CBD topicals"",""a"":""Potential properties include pain reduction, inflammation management, improved mobility, reduced stiffness or soreness of the joints, muscle recovery, pre‑ and post‑workout aid, moisturization, skin health, and balancing dry, red, or flaky skin.""},{""q"":""What CBD topicals does Proleve have?"",""a"":""Proleve offers CBD salves, CBD lotions, CBD cooling and warming roll‑ons, hand and body lotions, and CBD bath bombs.""},{""q"":""What ingredients are in CBD topicals?"",""a"":""Depending on the product, ingredients may include olive oil, coconut oil, lavender, tea tree oil, turmeric root extract, eucalyptus, aloe, green tea, shea butter, and other plant‑based bases. Cooling roll‑ons include peppermint oil and camphor; warming roll‑ons combine CBD with menthol and capsaicin.""},{""q"":""Why choose Proleve CBD topicals?"",""a"":""Total Hemp offers Proleve topicals because they are crafted to high safety standards with vegan ingredients, American‑grown hemp cultivated with zero pesticides, made in an ISO‑certified facility, and third‑party lab tested for purity, safety, and potency.""}]}"
Delta‑9 THC Gummies	thc-gummies	published	gummies	THC Gummies	DTCWebStore	Default Shipping Profile	Barney's Botanicals • Delta‑9	Total Hemp offers Barney’s Botanicals Delta‑9 THC gummies—hemp‑derived edibles featuring naturally occurring D9 THC. These gummies deliver a precise, pre‑measured dose for easy tracking and consistent effects.	TRUE		THC,Delta-9,Edibles,Gummies,Barney's Botanicals,Hemp-Derived,Euphoria,Relaxation			"{""product_faqs"":[{""q"":""What are Delta 9 gummies?"",""a"":""Delta‑9 THC gummies are bite‑sized, flavorful edibles infused with hemp‑derived D9 THC. Each gummy contains a precise, pre‑measured dose to make it easy to track exactly how much you’re taking.""},{""q"":""What do Delta 9 gummies do?"",""a"":""Customers report Delta‑9 gummies may support improved mood & euphoria, mental & physical relaxation, stress reduction, reduced discomfort & inflammation, digestive support, improved sleep, reduced nausea, appetite support, and muscle relaxation. Effects can feel euphoric and calming.""},{""q"":""How do Delta‑9 THC gummies work and how long do they take?"",""a"":""Delta‑9 gummies are vegan and hemp‑derived. Effects often begin within 30 minutes to 1 hour and can last 4–8 hours, with peak effects around 4 hours. Timing varies by metabolism and other factors.""},{""q"":""How much Delta‑9 should I take?"",""a"":""Start low and go slow. Try half a gummy or one gummy, then wait at least an hour before deciding to take more. You can always take more, but you can’t take less.""}]}"
Delta‑9 THC Drink Additives (4oz)	thc-drink-additives-4oz	published	drink-additives	THC Drinks	DTCWebStore	Default Shipping Profile	Barney's Botanicals • Delta‑9	Total Hemp offers Barney’s Botanicals Delta‑9 THC Drink Additives—hemp‑derived, vegan syrups made to mix into mocktails, sodas, or smoothies. Each 4oz bottle contains a potent 420mg of Delta‑9 THC for customizable, DIY dosing and flavor.	TRUE		THC,Delta-9,Drink Additives,Syrup,Barney's Botanicals,Hemp-Derived,Vegan,Non-GMO			"{""product_faqs"":[{""q"":""What are Delta 9 THC drinks, syrups, & shots?"",""a"":""They’re hemp‑derived products infused with Delta‑9 THC. Barney’s Botanicals syrups, shots, and drinks provide a convenient, great‑tasting way to enjoy relaxation and bliss on the go.""},{""q"":""What is Delta 9 THC?"",""a"":""Delta‑9 is best known as the psychoactive compound in marijuana, but it can also be found in hemp. By harnessing higher concentrations of Delta‑9 in syrups, drinks, and shots, Barney’s Botanicals makes it easy to enjoy euphoric relaxation.""},{""q"":""How do THC drinks work?"",""a"":""Delta‑9 drinks are a fast‑acting way to enjoy THC in a flavorful format. Effects often start faster than edibles. Start low and go slow—especially with higher‑potency syrups.""},{""q"":""How should I use THC drinks, syrups, & shots?"",""a"":""Mix syrups or shots into your favorite beverage for a DIY THC drink. THC beverages can be enjoyed solo or socially, but THC and alcohol create different experiences.""},{""q"":""What flavors are available?"",""a"":""Syrup flavors include Tropical Punch, Pineapple, Blue Razz, Black Cherry, Blood Orange, and Watermelon. Shot flavors include Pink Lemonade, Tropical, Pineapple, and Blue Razz.""},{""q"":""What can I expect from Delta 9 THC drinks?"",""a"":""Customers report effects such as euphoria, relaxation, stress reduction, reduced muscle tension, reduced inflammation & discomfort, improved sleep, soothing aches, and easing sore joints.""},{""q"":""Why choose Proleve & Barney’s Botanicals THC syrups?"",""a"":""Total Hemp offers Barney’s Botanicals because their drinks are vegan, all‑natural, made with American‑grown hemp, and ISO‑tested for purity, potency, and safety. They’re formulated in an ISO‑certified facility with natural colors and flavors.""}]}"
Delta‑9 THC Drink Additive Shots (50mg • 40ct)	thc-drink-shots-50mg-40ct	published	drink-additives	THC Drinks	DTCWebStore	Default Shipping Profile	Barney's Botanicals • Delta‑9	Total Hemp offers Barney’s Botanicals Delta‑9 THC Drink Additive Shots—single‑serve packets with 50mg of THC each. Designed for easy, consistent dosing and quick mixing into any beverage.	TRUE		THC,Delta-9,Drink Additives,Shots,Barney's Botanicals,Hemp-Derived,Single-Serve,Vegan,Non-GMO 			"{""product_faqs"":[{""q"":""What are Delta 9 THC drinks, syrups, & shots?"",""a"":""They’re hemp‑derived products infused with Delta‑9 THC. Barney’s Botanicals syrups, shots, and drinks provide a convenient, great‑tasting way to enjoy relaxation and bliss on the go.""},{""q"":""What is Delta 9 THC?"",""a"":""Delta‑9 is best known as the psychoactive compound in marijuana, but it can also be found in hemp. By harnessing higher concentrations of Delta‑9 in syrups, drinks, and shots, Barney’s Botanicals makes it easy to enjoy euphoric relaxation.""},{""q"":""How do THC drinks work?"",""a"":""Delta‑9 drinks are a fast‑acting way to enjoy THC in a flavorful format. Effects often start faster than edibles. Start low and go slow—especially with higher‑potency syrups.""},{""q"":""How should I use THC drinks, syrups, & shots?"",""a"":""Mix syrups or shots into your favorite beverage for a DIY THC drink. THC beverages can be enjoyed solo or socially, but THC and alcohol create different experiences.""},{""q"":""What flavors are available?"",""a"":""Syrup flavors include Tropical Punch, Pineapple, Blue Razz, Black Cherry, Blood Orange, and Watermelon. Shot flavors include Pink Lemonade, Tropical, Pineapple, and Blue Razz.""},{""q"":""What can I expect from Delta 9 THC drinks?"",""a"":""Customers report effects such as euphoria, relaxation, stress reduction, reduced muscle tension, reduced inflammation & discomfort, improved sleep, soothing aches, and easing sore joints.""},{""q"":""Why choose Proleve & Barney’s Botanicals THC syrups?"",""a"":""Total Hemp offers Barney’s Botanicals because their drinks are vegan, all‑natural, made with American‑grown hemp, and ISO‑tested for purity, potency, and safety. They’re formulated in an ISO‑certified facility with natural colors and flavors.""}]}"
Delta‑9 THC Drink Additive Single Shots (50mg)	thc-drink-shots-50mg-1ct	published	drink-additives	THC Drinks	DTCWebStore	Default Shipping Profile	Barney's Botanicals • Delta‑9	Total Hemp offers Barney’s Botanicals Delta‑9 THC single‑serve shots—50mg packets designed for easy, consistent mixing into any beverage. A quick, portable way to enjoy D9 with simple, precise dosing.	TRUE		THC,Delta-9,Drink Additives,Shots,Barney's Botanicals,Hemp-Derived,Single-Serve,Vegan,Non-GMO 			"{""product_faqs"":[{""q"":""What are Delta 9 THC drinks, syrups, & shots?"",""a"":""They’re hemp‑derived products infused with Delta‑9 THC. Barney’s Botanicals syrups, shots, and drinks provide a convenient, great‑tasting way to enjoy relaxation and bliss on the go.""},{""q"":""What is Delta 9 THC?"",""a"":""Delta‑9 is best known as the psychoactive compound in marijuana, but it can also be found in hemp. By harnessing higher concentrations of Delta‑9 in syrups, drinks, and shots, Barney’s Botanicals makes it easy to enjoy euphoric relaxation.""},{""q"":""How do THC drinks work?"",""a"":""Delta‑9 drinks are a fast‑acting way to enjoy THC in a flavorful format. Effects often start faster than edibles. Start low and go slow—especially with higher‑potency syrups.""},{""q"":""How should I use THC drinks, syrups, & shots?"",""a"":""Mix syrups or shots into your favorite beverage for a DIY THC drink. THC beverages can be enjoyed solo or socially, but THC and alcohol create different experiences.""},{""q"":""What flavors are available?"",""a"":""Syrup flavors include Tropical Punch, Pineapple, Blue Razz, Black Cherry, Blood Orange, and Watermelon. Shot flavors include Pink Lemonade, Tropical, Pineapple, and Blue Razz.""},{""q"":""What can I expect from Delta 9 THC drinks?"",""a"":""Customers report effects such as euphoria, relaxation, stress reduction, reduced muscle tension, reduced inflammation & discomfort, improved sleep, soothing aches, and easing sore joints.""},{""q"":""Why choose Proleve & Barney’s Botanicals THC syrups?"",""a"":""Total Hemp offers Barney’s Botanicals because their drinks are vegan, all‑natural, made with American‑grown hemp, and ISO‑tested for purity, potency, and safety. They’re formulated in an ISO‑certified facility with natural colors and flavors.""}]}"
Delta‑9 THC Cereal Bars	thc-cereal-bars	published	baked-goods	Baked Goods	DTCWebStore	Default Shipping Profile	Barney's Botanicals • Cereal Bars	Total Hemp offers Barney’s Botanicals Delta‑9 THC Cereal Bars as part of our Baked Goods collection—high‑potency, great‑tasting edibles made with hemp‑derived THC from American‑grown, pesticide‑free hemp.	TRUE		THC,Delta-9,Edibles,Baked Goods,Cereal Bars,Barney's Botanicals,Hemp-Derived,Mood,Relaxation			"{""product_faqs"":[{""q"":""What cereal bar flavors are available?"",""a"":""We offer multiple flavors: Lucky Puff Cinnamon Toast Cocoa Crunch Marshmallow Dream Apple Bites Peanut Butter Puff.  Each pack includes two bars infused with hemp‑derived Delta‑9 THC for a smooth, euphoric experience.""}]}"
Delta‑9 THC Chocolate Chunk Cookie	thc-chocolate-chunk-cookie	published	baked-goods	Baked Goods	DTCWebStore	Default Shipping Profile	Barney's Botanicals • Cookie	Total Hemp offers Barney’s Botanicals Delta‑9 THC Cookies—a high‑potency baked good infused with hemp‑derived THC for a smooth, great‑tasting way to relax and unwind.	TRUE		THC,Delta-9,Edibles,Baked Goods,Cookie,Barney's Botanicals,Hemp-Derived,Chocolate			"{""product_faqs"":[{""q"":""What else is in the Delta‑9 Baked Goods collection?"",""a"":""We offer cereal bars, brownies, and cookies infused with hemp‑derived Delta‑9 THC for a potent, great‑tasting experience.""}]}"
Delta‑9 THC Chocolate Brownie	thc-chocolate-brownie	published	baked-goods	Baked Goods	DTCWebStore	Default Shipping Profile	Barney's Botanicals • Brownie	Total Hemp offers Barney’s Botanicals Delta‑9 THC Brownies—a high‑potency baked good infused with hemp‑derived THC for a smooth, great‑tasting way to relax and unwind.	TRUE		THC,Delta-9,Edibles,Baked Goods,Brownie,Barney's Botanicals,Hemp-Derived,Chocolate 			"{""product_faqs"":[{""q"":""What else is in the Delta‑9 Baked Goods collection?"",""a"":""We offer cereal bars, brownies, and cookies infused with hemp‑derived Delta‑9 THC for a potent, great‑tasting experience.""}]}"
